precio,vendido,edad_del_modelo,km_por_ano
48927.78,1,15,43510.11624
80858.31,0,18,24122.39726
48885.2,1,15,13381.6621
35631.97,1,15,33134.70126
79025.54,0,11,41706.0461
49590.78,0,11,24487.71744
24614.46,1,16,13507.19062
85914.82,0,12,23491.53598
84192.06,1,5,14176.67606
110558.98,0,2,21143.50892
78617.01,0,14,23277.49376
58933,1,17,44393.6439
45677.29,1,7,21674.59112
78547.52,1,18,16083.74396
41605.44,1,17,29302.86272
30481.01,1,19,14128.39586
105677.42,1,8,22947.57906
45817.6,1,14,16379.86252
96407.65,0,9,33071.937
80183.01,0,20,29280.33196
48616.33,1,3,21829.08776
58761.47,1,9,15264.5898999999
56037.14,1,17,25826.68832
34621.52,1,17,31884.24408
108416.34,1,2,22113.94094
97926.72,0,8,35428.01076
65811.04,1,8,19101.25646
50146.34,0,9,17013.94248
109215.68,1,12,12388.69932
56158.82,0,17,26669.98248
25495.31,1,16,35936.5622
93179.79,1,6,12737.9261
80301.3,0,10,24289.76862
80608.35,1,7,14897.66038
70524.3,1,7,7567.11668
50307.59,1,20,22461.55838
52763.86,0,14,21439.62748
74560.79,0,13,36160.26046
50272.61,1,19,40040.3792
48031.11,1,8,16899.67934
60835.06,0,12,11479.42222
103001.47,0,20,19942.94128
44724.71,0,20,30814.03298
62896.9,0,11,36837.7926
36757.34,1,6,26769.76156
99345.47,0,11,16881.9765999999
35187.66,1,19,27790.08312
60494.2,0,19,29125.83532
32140.32,1,10,28507.84876
72494.65,0,20,17791.2537
60963.98,1,8,20902.10792
29846.95,1,16,28556.12896
96629.93,0,18,19221.95696
17099.53,1,18,27522.9326799999
91871.81,0,9,21837.13446
105254.27,1,17,20264.80928
66800.19,0,19,26694.12258
71884.55,0,7,28174.71538
99362.45,1,18,36623.75038
65502.27,0,15,15823.03088
61589.68,0,4,25079.95456
85528.69,1,20,18676.3907
51048.1,1,15,30892.89064
89204.35,0,4,15993.62092
34106.61,1,13,18766.51374
93591.27,1,15,21375.25388
42460.74,1,20,13911.13496
105170.22,1,14,14928.23784
89394,0,20,40396.04334
81849.27,0,8,22532.36934
21698.45,1,16,32835.36402
67026.41,1,19,11736.91662
58795.57,1,16,30422.96336
32578.24,1,17,34398.03316
106744.63,0,6,14073.6783
50227.03,1,10,21243.288
29275.66,1,20,26056.82394
87249.72,0,5,26843.7912
60412.78,0,20,43189.8575799999
58403.01,1,19,14707.75826
60611.05,1,20,20229.4038
51375.39,0,4,15045.71966
94724.39,1,8,23721.6716
115907.54,1,10,26518.70452
108072.15,1,19,27757.89632
71393.18,1,19,15267.80858
64356.4,0,18,35276.7328
65512.96,0,17,19514.85684
73526.68,0,13,37296.4545
86962.43,1,18,17083.1441
75308.4,1,9,16587.46738
77450.66,0,16,21203.0545
87133.58,0,17,27038.52134
72921.91,0,11,12243.85872
54881.34,1,7,38868.77968
51414.06,1,13,25649.66092
73995.74,0,13,31010.37246
58540.97,0,20,28734.7657
92527.23,0,11,25704.37848
67457.71,0,17,11506.7809999999
42270.45,1,19,46300.7118
66502.41,0,4,10655.44014
76128.49,0,13,11889.80392
48176.44,1,18,29302.86272
99855.89,0,12,14025.3981
32988.68,1,6,10317.47874
95672.85,0,14,24714.63438
40562.78,1,17,12787.81564
89447.12,1,8,14393.9369599999
101020.51,1,9,35482.72832
61876.6,0,18,31213.1493
10523.62,1,19,16106.27472
50350.21,1,19,15018.36088
71042.66,1,15,14163.80134
89330.23,1,10,34900.14724
38275.15,1,16,28480.48998
56944.59,0,12,21080.74466
71172.51,0,15,15563.92714
21425.97,1,14,13499.14392
33195.17,1,19,21911.1640999999
80133.35,1,16,23794.0919
95451.76,0,11,31866.54134
75429.15,0,13,17788.03502
73828.87,0,12,30344.1057
53441.7,0,9,12639.75636
87397.7,0,14,31018.41916
40425.74,1,20,31802.16774
59712.76,1,14,21463.76758
53620.03,1,15,13666.51528
69926.45,0,13,23996.86874
99947.31,1,10,22717.44344
71901.77,0,17,28297.02522
75606.69,0,7,28269.66644
100109.51,1,17,27355.56132
54470.12,1,13,17501.5725
55234.23,0,16,37721.32026
16100.55,1,19,14265.18976
27837.75,1,16,30543.66386
92347.47,1,13,23351.5234
51786.94,1,12,13785.60644
88147.2,1,12,18473.61386
48748.05,1,16,20945.5601
82718.96,1,20,19648.43206
47725.66,1,16,17321.32642
96824.04,1,19,11065.82184
70160.04,0,10,44688.15312
106663.84,1,16,19772.35124
12679.47,1,20,14714.19562
53256.53,0,7,27310.4998
75329.62,0,12,38556.56772
42410.77,1,14,22569.38416
48904.71,0,18,14855.81754
38707.38,1,7,32890.08158
87000.67,1,17,19304.0333
55680.57,0,12,17902.29816
31682.9,1,18,31578.46948
59919.38,1,10,30899.328
98076.26,1,13,12453.07292
97051.88,0,12,23018.39002
31384.59,1,18,36831.35524
100902.05,1,18,16838.52442
52934.42,1,11,21708.38726
78931.13,0,15,24288.15928
82494,1,20,17129.81496
52238.42,1,20,21819.43172
53840.35,1,16,20390.3378
35711.03,1,9,24038.71158
81582.81,0,11,22714.22476
83509.77,1,18,20763.70468
32167.57,1,19,17881.37674
114609.66,1,7,15351.49426
54940.25,0,18,19168.84874
100368.11,1,19,13166.01054
48481.31,0,9,28462.78724
68456.86,0,19,10138.842
81234.8,0,9,33382.53962
27338.23,1,19,15359.54096
83224.59,0,7,33846.02954
16021.54,1,20,33710.84498
110580.13,0,17,21841.96248
80300.46,0,8,27989.64128
103801.19,0,5,29372.06434
55874.91,1,14,19394.15634
46315.44,0,20,22200.8453
75938.53,0,15,25234.4512
55401.34,1,10,25411.4786
65761.48,0,13,9298.76652
27817.54,1,19,10814.7648
19850.82,1,19,13912.7443
95755.37,0,4,32141.73848
40400.53,1,8,18797.0912
110690.57,1,14,26921.03952
27716.48,1,17,28937.54254
70343.39,0,14,32742.0223
98412.88,0,10,12364.55922
80541.59,0,17,38450.35128
96096.25,0,11,21652.06036
77244.26,0,17,32075.75554
68299.71,0,12,21896.68004
111244.38,0,13,17062.22268
90401.7,1,13,14038.27282
26955.05,1,13,18163.01124
60646.51,0,9,29166.06882
83964.09,1,15,18191.97936
84740.57,0,18,15872.92042
70549.92,0,18,19131.83392
55664.61,1,12,15240.4498
40858.27,1,19,15971.09016
37208.98,1,16,27777.2084
106805.75,1,20,19902.70778
85981.58,1,16,20031.45498
90746.74,0,11,21433.19012
25530.37,1,11,39464.23548
42114.38,1,20,20042.72036
62955.76,0,16,36303.49172
62601.2,0,8,27143.12844
14413.13,1,19,15779.5787
57965.53,1,6,24547.26302
63861.1,1,12,19579.23044
32423.59,1,20,29003.52548
43559.2,1,18,27086.80154
104052.72,1,10,20528.74104
68838.93,1,16,9131.39516
85783.86,0,14,27307.28112
88167.15,0,19,23000.68728
42538.65,1,13,22780.2077
97880.4,0,20,17506.40052
62681.06,0,18,22410.0595
52926.99,1,20,13265.78962
67329.21,1,15,20494.9449
20846.59,1,13,12794.253
58939.63,1,19,27154.39382
88674.81,0,6,12641.3657
49765.05,1,11,25313.30886
41307.46,1,16,23351.5234
45362.91,1,10,15935.68468
50057.74,1,18,19790.05398
44310.77,1,16,14609.58852
51853.51,1,16,38493.80346
65149.93,0,11,26039.1212
85506.78,0,14,32664.7739799999
71596.17,0,19,32138.5198
55055.51,1,13,16082.13462
49025.81,1,4,24862.69366
60821.74,0,16,24218.95766
81831.6,0,14,37203.11278
82521.32,1,9,18929.05708
78328.58,0,5,25403.4319
31185.41,1,19,30545.2732
61411.58,0,13,14997.43946
66153.58,0,14,27053.0054
55137.78,1,15,24048.36762
50513.62,0,14,33649.69006
35149.84,1,15,34649.0902
83297.56,0,15,28026.6561
93908.17,0,14,12235.81202
104612.09,1,10,22091.41018
55070.37,0,18,18912.96368
82861.88,0,6,20316.30816
41954.96,1,18,24457.13998
106143.54,1,16,22612.83634
96169.66,0,17,19885.00504
51913.4,0,16,24418.51582
59815.67,1,16,12985.76446
90189.83,0,20,23969.50996
86648.92,0,14,26183.9618
25472.09,1,20,28752.46844
23477.18,1,19,20567.3652
88926.53,0,12,25070.29852
47535.86,0,13,19089.99108
52835.52,1,18,21203.0545
60396.79,0,12,37075.97492
47491.72,1,9,24228.6137
55869.47,0,20,13690.65538
44250.73,1,8,10331.9628
27710.15,1,20,24658.30748
114701.35,0,10,27220.37676
56185.73,1,15,31147.16636
52716.99,1,15,27775.59906
30496.76,1,17,16437.79876
30686.29,1,18,42538.07488
55129.13,0,15,15758.65728
29643.29,1,8,24770.96128
68762.98,0,15,19833.50616
82962.29,1,6,17545.02468
16907.72,1,19,22128.425
30812.73,1,16,19225.17564
46181.5,1,5,25112.14136
54531.19,0,11,14398.76498
96511.12,0,20,13418.67692
57887.84,1,13,37608.66646
63543.24,0,12,36412.92684
45855.28,1,18,25440.44672
77605.68,1,8,20501.38226
17118.01,1,18,16029.0264
96670.08,1,19,8844.93263999999
43224.35,1,13,15703.93972
60916.85,1,19,20068.4698
64801.02,0,18,17960.2344
52450.74,1,12,27221.9861
60177.16,0,15,13190.15064
100429.64,1,12,27461.77776
69907.81,1,20,29421.95388
58367.72,0,15,24152.97472
92028.22,0,12,25622.30214
21990.03,1,16,30934.73348
67815.16,0,14,21077.52598
107739.84,0,11,9281.06378
34201.64,1,17,21465.37692
77844.32,0,6,25543.44448
29576.99,1,17,33060.67162
53445.79,1,13,26557.32868
63403.84,0,20,39718.5112
45854.85,0,9,38001.34542
37776.96,1,11,16677.59042
114977.51,1,10,22402.0128
94770.54,0,20,15995.23026
39677.04,1,11,16428.14272
68765.21,0,13,26721.48136
60557.45,1,8,22467.99574
52459.5,1,16,20277.684
101767.23,0,16,25607.81808
45658.62,1,20,31792.5117
97645.54,0,18,22054.39536
79332.74,0,16,12456.2916
71344.99,0,18,31613.87496
96267.37,0,18,32383.13948
97742.8,1,6,22817.22252
71730.69,0,20,19679.00952
92118.45,0,18,24040.32092
86895.79,0,11,13320.50718
80811.89,1,15,17059.004
60301.19,0,11,22765.72364
72823.12,0,16,14244.26834
64421.22,1,18,17945.75034
97257.56,0,13,27669.38262
86046.63,0,15,28559.34764
66538.26,0,14,18776.16978
55775.43,0,4,32901.34696
75998.38,0,10,19302.42396
41081.74,0,5,16291.34882
59857.03,1,13,30743.22202
64190.79,0,5,60179.65996
73410.03,0,11,17055.78532
99430.17,1,9,18780.9978
50957.91,1,15,22772.161
84360.9,0,15,31077.96474
93693.78,0,10,25895.88994
50087.6,1,11,29273.8946
44378.87,1,13,38493.80346
95736.89,0,15,28821.67006
25309.79,1,16,19672.57216
89301.89,0,14,24561.74708
37872.08,1,18,32981.81396
32015.55,1,8,22487.3078199999
53270.42,0,18,12548.02398
35354.08,1,9,19015.96144
102614.05,1,11,37904.78502
60686.91,1,18,19218.73828
32230.06,1,16,27239.68884
28056.3,1,15,18494.53528
80387.31,0,6,21645.623
90394.28,0,20,25897.49928
78238.12,1,15,22900.9082
20636.39,1,18,15512.42826
62340.6,1,9,10275.6359
91123.54,0,13,21697.12188
16043.96,1,17,21201.44516
51197.87,1,11,25533.78844
74060.87,0,12,19104.47514
32222.66,1,19,28380.7109
26129.87,1,12,29718.07244
88099.83,0,17,28691.31352
81441.14,1,16,17676.99056
69025.81,1,12,15522.0843
43005.66,1,18,14698.10222
72457.14,0,11,10713.37638
61418.1,0,3,17714.00538
95856.58,1,10,25572.4126
47468.8,1,17,15646.00348
57628.09,1,18,12403.18338
67773.9,0,19,19252.53442
27983.28,1,16,28198.85548
30048.86,1,19,18555.6902
69954.14,1,17,16909.33538
68798.47,0,19,21381.69124
96111.84,1,7,14929.84718
98987.32,0,19,27312.10914
93424.64,0,19,34626.55944
51221.41,1,17,16349.28506
50693.66,0,13,9483.84062
60867.55,0,18,27316.93716
33329.29,1,18,18351.30402
86023.79,1,19,19130.22458
38155.67,1,15,34013.4009
72108.55,0,16,30696.55116
87508.53,0,15,23526.94146
101103.66,1,11,15407.82116
71912.15,1,13,24122.39726
75682.44,0,11,31232.46138
49830.26,1,10,15451.27334
96731.56,0,8,23219.55752
80440.24,0,16,29418.7352
62700.93,0,12,21014.76172
75160.29,1,18,22432.59026
104705.85,1,12,32209.33076
90899.86,1,15,17231.20338
103643.22,0,18,41511.31596
89084.24,1,19,20659.09758
88657.86,0,15,20969.7002
61331.48,0,7,32106.333
41625,0,17,26058.43328
30430.91,1,20,23948.58854
79290.13,1,15,23779.60784
108974.78,0,6,20509.42896
105346.4,0,7,20942.34142
25477.08,1,13,27461.77776
91190.27,0,11,18426.943
65653.57,1,6,16680.8091
93325.37,0,12,9619.02518
90110.38,0,19,23580.04968
86579.53,0,7,38340.91616
43509.27,0,19,25145.9375
43966.31,1,18,19510.02882
38979.54,1,18,19696.71226
58125.86,1,17,20794.28214
42052.8,0,20,63127.97084
73584.98,1,13,13241.64952
48287.26,1,10,20900.49858
67867.53,0,19,13309.2418
68562.61,0,12,30680.45776
80135.94,0,7,36272.91426
82571.99,0,17,29137.1007
58997.33,0,13,24608.41794
86868.2,0,15,35326.62234
92393.34,0,2,30743.22202
82078.97,0,20,22467.99574
51097.21,1,16,19876.95834
76746.96,0,17,12958.40568
31126.22,1,8,25570.80326
87421.77,1,17,13521.67468
54789,1,14,9567.5263
47870.87,1,11,43307.3394
77192.03,1,12,15763.4853
60215.14,0,18,28297.02522
38926.9,1,13,16836.91508
77690.95,0,10,32296.23512
42749.08,1,6,30130.06348
37562.77,1,16,34594.37264
25479.97,1,15,25557.92854
84121.67,1,20,23742.59302
96223.45,1,12,21233.63196
52092.5,1,11,20605.98936
53350.22,1,6,18838.93404
43823.16,1,20,20099.04726
92956.75,0,17,28351.74278
85323.93,0,15,584.19042
68765.44,0,17,25060.64248
48849.12,0,20,8140.04172
76616.81,0,2,20931.07604
39044.74,1,18,13330.16322
39937.5,1,20,17385.70002
70756.45,1,8,18454.30178
65982.96,1,7,11363.54974
73918.08,0,5,24507.02952
47279.05,0,18,20869.92112
35508.95,1,18,22223.37606
71871.52,1,13,10338.40016
18234.99,1,18,13595.70432
93710.17,1,15,20908.54528
27831.26,1,16,10544.39568
41566.03,1,20,14125.17718
72281.71,0,8,32930.31508
58031.32,1,17,13647.2032
63153.7,0,17,27642.02384
61992.78,0,19,25918.4207
60826.02,0,15,32846.6294
78971.4,0,18,14575.79238
80857.98,0,6,11717.60454
41841.71,1,15,30928.29612
74738.67,0,20,30883.2346
37754.27,1,15,26195.22718
48880.96,1,19,19704.75896
111232.69,1,5,18615.23578
43522.35,1,12,28754.07778
89175.83,0,10,24717.85306
84895.96,0,8,28704.18824
31159.1,1,13,14157.36398
33671.6,1,18,24001.69676
75378.47,0,12,16381.47186
52821.78,0,12,20770.14204
97969.32,1,19,14873.52028
82130.68,0,12,17195.7979
69938.01,1,11,17865.2833399999
60151.71,0,20,40775.84758
90791.51,0,16,20168.24888
69216.95,0,7,38513.11554
51786.56,1,19,25874.96852
85492.67,0,18,35975.18636
78506.26,0,20,27740.19358
44195.14,0,10,15274.24594
83396.53,0,7,17722.05208
97387.88,0,13,27793.3018
11849.57,1,18,29318.95612
65749.97,0,18,31290.39762
57209.28,0,16,22376.26336
22733.76,1,16,29211.13034
68274.8,0,13,20358.151
50935.23,0,8,29270.67592
83821.74,1,16,21219.1479
76443.36,1,5,17163.6111
94356.13,1,10,21877.36796
20653.47,1,17,24648.65144
44063.92,1,20,32732.36626
74128.76,1,8,30112.36074
18239.6,1,20,21821.04106
42592,1,16,21972.31902
93973.19,0,11,25656.09828
13019.74,1,20,16315.48892
80643.48,0,10,28659.12672
47153.12,1,20,10682.79892
61161.66,0,17,19370.01624
11053.79,1,20,32117.59838
21895.94,1,20,18959.63454
80450.28,0,18,17601.35158
87141.84,0,19,21861.27456
50261.76,1,14,11511.60902
91365.12,0,12,27712.8348
96716.21,1,18,18993.43068
46222.38,1,19,11173.64762
93889.4,1,14,21246.50668
58691.22,0,17,22517.88528
97824.01,0,11,14258.7524
85152.64,0,10,17493.5258
45171.94,1,16,43497.24152
43950.05,0,13,13645.5938599999
31848.92,1,19,13273.83632
47803.95,0,13,21262.60008
91780.26,0,20,17723.66142
81355.74,1,10,12609.1789
77585.11,0,15,15694.28368
61947,0,4,15243.66848
64948.91,0,13,24888.4431
87487.93,0,2,22987.81256
48875.07,0,13,21156.38364
16354.14,1,20,20929.4667
59443.2,0,16,25968.31024
49207.48,1,14,16104.66538
71282.48,1,6,16629.31022
18887.11,1,20,19289.54924
37244.93,1,9,19872.13032
66905.3,0,12,38022.26684
50313.96,0,13,29090.42984
82721.7,1,8,19410.24974
105926.86,1,9,30076.95526
66987.51,1,18,18349.69468
70302.9,0,2,35733.78536
69005.74,1,12,23044.13946
76833.14,0,19,19178.50478
75393.38,0,16,17372.8253
47033.03,1,15,14448.65452
111319.48,1,10,26489.7364
109509.96,0,12,37605.44778
58570.17,1,13,28260.0104
80390.26,0,16,14625.6819199999
29982.33,1,19,23890.6523
49528.74,1,3,29504.03022
96402.43,0,8,18011.73328
27616.01,1,20,14556.4803
55931.97,1,19,12205.23456
111263.35,1,5,15190.56026
101415.11,1,5,26451.11224
59464.51,1,17,22213.72002
73355.27,0,11,33659.3461
45748.06,1,10,25192.60836
83686.13,0,15,50003.8031399999
58200.34,1,16,33116.99852
45010.88,1,2,18282.1024
47584.23,1,19,12002.45772
109009.54,1,12,20554.49048
99045.26,0,20,20945.5601
29868.87,1,9,28874.77828
83735.84,0,20,27180.14326
92916.94,0,12,18119.55906
68956.22,1,14,18219.33814
57027.85,1,7,16341.23836
47064.3,1,20,25625.52082
69811.07,0,3,10517.0369
48412.88,0,16,19802.9287
43033.47,1,20,23015.17134
16599.03,1,15,14060.80358
86069.22,0,19,28647.86134
42491.27,1,16,31879.41606
78235.69,0,10,29198.25562
97741.64,0,14,31182.57184
86830.79,1,18,14171.84804
83896.38,1,14,9393.71758
40088.17,1,18,12869.89198
81708.98,0,11,24616.46464
22289.87,1,13,13223.94678
64637.98,0,20,13478.2225
78807.86,1,19,19553.481
62887.42,0,12,36342.11588
80445.86,0,15,32894.9096
65019.81,0,12,24827.28818
58790.46,1,18,27310.4998
86150.41,0,18,25791.28284
9293.94,1,18,20525.52236
65290.11,1,20,21042.1205
85602.03,0,17,21782.4169
47500.47,1,11,24275.28456
39371.14,1,11,29412.29784
89442.04,0,9,28556.12896
71977.33,0,10,23488.3173
90437.61,0,17,26212.92992
87274.13,1,19,21542.62524
66781.04,0,12,41646.50052
28969.82,1,17,25176.51496
70733.72,0,17,37977.20532
44224.36,1,19,15551.05242
86577.51,0,2,11707.9485
58802.03,1,14,21830.6971
25487.71,1,19,21988.41242
86716.05,1,10,18108.29368
80774.07,0,17,35389.3866
97830.91,0,7,28752.46844
36007.16,1,19,22104.2849
79193.58,0,13,31367.64594
33276.52,1,16,16572.98332
40890.38,1,14,21759.88614
83537.38,0,16,21985.19374
95702.51,0,19,25007.53426
68048.91,0,13,28623.72124
98997.7,0,19,10740.73516
32612.92,1,19,25052.59578
77546.13,0,8,22942.75104
56317.72,1,20,27682.25734
27282.65,1,20,15813.37484
55897.76,0,10,27022.42794
109411.39,0,4,26616.87426
24570.35,1,13,31877.80672
90319.67,1,15,15893.84184
39623.16,1,20,16756.44808
101462.86,1,19,20245.4972
90201.92,1,6,32185.19066
74199.69,0,17,27547.07278
35655.12,1,13,15065.03174
83046.1,0,15,13162.79186
92798.09,1,12,12774.94092
108172.3,1,1,22775.37968
89275.96,0,13,26212.92992
47098.18,1,15,32154.6132
68341.83,0,11,35679.0678
67102.04,0,18,14265.18976
74605.62,0,17,20942.34142
63034.22,1,17,20197.217
92265.13,0,12,20543.2251
48439.62,0,17,29323.78414
34519.9,1,16,31938.96164
16465.29,1,18,20387.11912
25203.52,1,9,15171.24818
76870.85,0,11,17413.0588
96976.24,0,7,20261.5906
58494.81,1,16,20474.02348
42059.07,1,13,20348.49496
83687.69,0,12,36169.9165
78917.4,1,20,17096.01882
57166.83,1,19,19608.19856
69991.35,0,4,21502.39174
55854.88,0,14,38017.43882
32300.81,1,10,20614.03606
90582,1,7,17083.1441
44307.55,1,7,23375.6635
95932.04,0,11,9475.79392
89718.57,1,15,24051.5863
67155.02,0,12,9052.5375
39834.33,1,10,20808.7662
111667.86,1,16,16643.79428
74488.52,0,13,14067.24094
53082.76,0,15,38102.73384
53241.97,0,20,16117.5401
51258.26,1,8,44844.2591
23224.9,1,19,18311.07052
